scale M_vir R_vir R_max
1.334300e-01 6.175586e+07 1.019185e+01 4.956950e+00
1.317400e-01 6.210082e+07 1.021121e+01 5.267290e+00
1.300700e-01 5.598553e+07 9.864765e+00 3.779450e+00
1.284300e-01 5.158829e+07 9.599783e+00 3.196720e+00
1.268000e-01 5.928456e+07 1.005558e+01 4.641790e+00
1.251900e-01 5.548667e+07 9.836445e+00 4.419170e+00
1.236100e-01 4.835260e+07 9.395713e+00 3.455440e+00
1.220400e-01 4.466413e+07 9.150752e+00 8.202220e+00
1.205000e-01 4.394980e+07 9.101987e+00 8.759160e+00
1.189700e-01 4.343025e+07 9.066250e+00 8.981180e+00
1.174600e-01 4.202196e+07 8.967435e+00 8.753340e+00
1.159700e-01 4.086737e+07 8.884788e+00 6.863650e+00
1.145100e-01 4.166888e+07 8.942734e+00 8.736010e+00
1.130600e-01 4.188140e+07 8.958141e+00 8.480900e+00
1.116200e-01 4.269545e+07 9.016033e+00 8.689670e+00
1.102100e-01 4.289840e+07 9.030510e+00 8.521730e+00
1.088100e-01 4.488183e+07 9.167806e+00 8.112140e+00
1.074400e-01 4.323379e+07 9.054390e+00 7.221030e+00
1.060700e-01 4.300087e+07 9.038294e+00 6.117320e+00
1.047300e-01 4.422098e+07 9.123168e+00 7.630080e+00
1.034000e-01 4.435472e+07 9.132536e+00 7.278800e+00
1.021000e-01 4.394803e+07 9.104709e+00 6.260040e+00
1.008000e-01 4.343088e+07 9.069021e+00 5.705930e+00
9.952000e-02 4.237036e+07 8.994753e+00 5.361080e+00
9.826000e-02 4.143639e+07 8.928322e+00 5.512220e+00
9.702000e-02 3.977023e+07 8.807154e+00 6.172280e+00
9.579000e-02 3.768429e+07 8.650539e+00 5.781740e+00
9.458000e-02 3.545239e+07 8.476399e+00 5.998970e+00
9.338000e-02 3.351564e+07 8.319266e+00 6.276170e+00
9.220000e-02 3.230164e+07 8.217696e+00 6.187440e+00
9.103000e-02 2.927964e+07 7.953098e+00 6.611110e+00
